iter	Passed	Remaining
0	3	3091
1	6	2998
2	8	2940
3	11	2873
4	14	2866
5	19	3200
6	22	3175
7	26	3258
8	29	3233
9	32	3178
10	35	3150
11	37	3105
12	40	3074
13	43	3089
14	47	3098
15	50	3130
16	54	3155
17	58	3173
18	61	3151
19	64	3149
20	67	3124
21	69	3107
22	72	3096
23	75	3084
24	79	3082
25	82	3091
26	85	3081
27	88	3079
28	91	3072
29	94	3068
30	97	3050
31	100	3036
32	103	3041
33	106	3032
34	109	3023
35	114	3068
36	117	3065
37	121	3064
38	124	3062
39	127	3054
40	130	3045
41	133	3035
42	135	3023
43	138	3017
44	144	3057
45	148	3069
46	153	3111
47	157	3118
48	165	3221
49	176	3346
50	184	3424
51	188	3430
52	192	3433
53	196	3446
54	203	3493
55	208	3521
56	222	3685
57	228	3717
58	235	3760
59	241	3776
60	248	3819
61	254	3848
62	258	3847
63	264	3863
64	269	3872
65	274	3883
66	281	3923
67	287	3935
68	292	3946
69	298	3965
70	303	3966
71	308	3980
72	320	4072
73	329	4118
74	334	4131
75	340	4136
76	345	4139
77	353	4175
78	360	4205
79	368	4236
80	374	4249
81	378	4237
82	384	4244
83	389	4251
84	395	4255
85	408	4340
86	412	4328
87	416	4313
88	422	4324
89	429	4345
90	435	4345
91	439	4338
92	443	4328
93	448	4318
94	454	4332
95	464	4377
96	471	4388
97	475	4379
98	481	4378
99	486	4379
100	490	4365
101	495	4358
102	500	4361
103	508	4377
104	517	4409
105	525	4429
106	529	4422
107	536	4429
108	540	4417
109	545	4410
110	550	4408
111	554	4394
112	557	4375
113	565	4394
114	569	4386
115	573	4369
116	580	4381
117	585	4378
118	590	4368
119	604	4432
120	612	4450
121	619	4461
122	624	4455
123	631	4460
124	643	4506
125	649	4507
126	656	4509
127	661	4507
128	666	4500
129	672	4501
130	678	4501
131	683	4493
132	689	4492
133	693	4480
134	697	4468
135	700	4449
136	703	4431
137	706	4410
138	708	4391
139	712	4375
140	715	4360
141	718	4344
142	722	4331
143	725	4313
144	728	4295
145	731	4279
146	734	4263
147	737	4245
148	740	4231
149	743	4214
150	747	4200
151	750	4186
152	753	4171
153	756	4156
154	760	4143
155	763	4128
156	765	4112
157	769	4098
158	771	4083
159	774	4067
160	779	4063
161	782	4050
162	786	4037
163	789	4023
164	791	4007
165	795	3995
166	798	3981
167	801	3967
168	804	3953
